esterel
Problem, Total, Successes, Failures, Replans, Replans_std_dev, Actions, Actions_std_dev,
m3_p1, 2000, 606, 1394, 7.0545, 4.48459424505, 7.823, 3.347876213, 
m3_p2, 2000, 250, 1750, 8.784, 3.22700337393, 6.9015, 3.14352328118, 
m3_p3, 2000, 208, 1792, 8.982, 2.99385329948, 6.8205, 3.05809674926, 
m3_p4, 2000, 130, 1870, 9.3675, 2.40610440738, 6.5015, 3.02747098091, 
m3_p5, 2000, 84, 1916, 9.591, 1.9592443235, 6.2425, 2.91701015153, 
m3_p6, 2000, 46, 1954, 9.777, 1.45647920199, 6.015, 2.8006600737, 
m3_p7, 2000, 721, 1279, 7.027, 4.06639136943, 10.812, 5.17707031327, 
m3_p8, 2000, 282, 1718, 8.805, 2.99055960037, 8.551, 4.27007210219, 
m3_p9, 2000, 123, 1877, 9.4615, 2.1292685698, 7.08, 3.67074068392, 
m3_p10, 2000, 38, 1962, 9.8335, 1.20644332762, 6.07, 3.3079557563, 
m3_p11, 2000, 247, 1753, 9.031, 2.62897218459, 8.265, 5.35080279447, 
m3_p12, 2000, 394, 1606, 8.2495, 3.58743426313, 7.831, 4.08874038048, 
m3_p13, 2000, 43, 1957, 9.7935, 1.40386722007, 5.1205, 3.41244811698, 
m3_p14, 2000, 49, 1951, 9.782, 1.39263983961, 6.5205, 3.72699946505, 
m3_p15, 2000, 382, 1618, 8.1795, 3.76528464186, 5.734, 2.3229166948, 
m3_p16, 2000, 354, 1646, 8.3105, 3.65920546599, 5.6785, 2.06573749196, 
adaptable
Problem, Total, Successes, Failures, Replans, Replans_std_dev, Actions, Actions_std_dev,
m3_p1, 2000, 766, 1234, 6.1705, 4.86181533732, 6.1385, 4.21012830448, 
m3_p2, 2000, 459, 1541, 7.705, 4.20616463188, 4.681, 3.80479660936, 
m3_p3, 2000, 444, 1556, 7.781, 4.15519817047, 4.5475, 3.81641536827, 
m3_p4, 2000, 353, 1647, 8.2355, 3.81238860866, 3.963, 3.47975363247, 
m3_p5, 2000, 330, 1670, 8.351, 3.71061764962, 3.702, 3.40381976528, 
m3_p6, 2000, 243, 1757, 8.7855, 3.26662289874, 3.4065, 3.2492362977, 
m3_p7, 2000, 809, 1191, 5.955, 4.90917763098, 8.414, 6.15926718743, 
m3_p8, 2000, 340, 1660, 8.3005, 3.75622874399, 5.4855, 4.8439159273, 
m3_p9, 2000, 156, 1844, 9.22, 2.6823865491, 3.873, 3.6447926219, 
m3_p10, 2000, 84, 1916, 9.58, 2.00639298404, 3.0985, 2.85392189541, 
m3_p11, 2000, 313, 1687, 8.435, 3.63419574175, 5.787, 5.48613523712, 
m3_p12, 2000, 460, 1540, 7.7005, 4.2085217806, 5.194, 4.46501200067, 
m3_p13, 2000, 64, 1936, 9.6805, 1.75782955157, 2.9705, 2.76142037206, 
m3_p14, 2000, 75, 1925, 9.625, 1.90031065626, 3.425, 3.33210540998, 
m3_p15, 2000, 600, 1400, 7.001, 4.58230266884, 4.0005, 3.19054690371, 
m3_p16, 2000, 436, 1564, 7.821, 4.1281327183, 3.3225, 2.75704450403, 
